# ==========================================================================
# RECONSTRUCTED training log  --  Attention_UNet  --  Dataset_Mixed_Size
# Source: logs/metrics.csv (+ run_config.json, run_summary.json)
# The original console log was not persisted for this architecture.
# Per-epoch values below are EXACT (from metrics.csv).
# Per-epoch wall-clock timestamps were not recorded and are omitted.
# Line format matches UNet_BCE train.log for cross-model comparison.
# ==========================================================================
[INFO] Model: AttentionUNet3D | params=35.575M
[INFO] System: NVIDIA GeForce RTX 4070 Ti SUPER | torch=2.5.1+cu124 | cuda=12.4
[INFO] Config: epochs=500, batch_size=1, lr=0.001, loss=dice_ce, scheduler=poly, seed=42, amp=True
[INFO] Loaded 87 train / 22 val studies
Epoch 061/500 | train_loss=0.2920 | val_dice=0.3969 | val_iou=0.2901 | val_f1=0.3969 | val_acc=0.9912 | lr=0.000891
Epoch 062/500 | train_loss=0.2920 | val_dice=0.4062 | val_iou=0.2952 | val_f1=0.4062 | val_acc=0.9894 | lr=0.000889
Epoch 063/500 | train_loss=0.2921 | val_dice=0.4302 | val_iou=0.3149 | val_f1=0.4302 | val_acc=0.9907 | lr=0.000888
Epoch 064/500 | train_loss=0.2741 | val_dice=0.3911 | val_iou=0.2884 | val_f1=0.3911 | val_acc=0.9913 | lr=0.000886
Epoch 065/500 | train_loss=0.2790 | val_dice=0.4218 | val_iou=0.3117 | val_f1=0.4218 | val_acc=0.9898 | lr=0.000884
Epoch 066/500 | train_loss=0.2739 | val_dice=0.4278 | val_iou=0.3171 | val_f1=0.4278 | val_acc=0.9906 | lr=0.000882
Epoch 067/500 | train_loss=0.2807 | val_dice=0.4053 | val_iou=0.2998 | val_f1=0.4053 | val_acc=0.9900 | lr=0.000880
Epoch 068/500 | train_loss=0.2815 | val_dice=0.4064 | val_iou=0.2974 | val_f1=0.4064 | val_acc=0.9895 | lr=0.000879
Epoch 069/500 | train_loss=0.2637 | val_dice=0.3956 | val_iou=0.2925 | val_f1=0.3956 | val_acc=0.9917 | lr=0.000877
Epoch 070/500 | train_loss=0.2632 | val_dice=0.4250 | val_iou=0.3139 | val_f1=0.4250 | val_acc=0.9903 | lr=0.000875
Epoch 071/500 | train_loss=0.2675 | val_dice=0.4291 | val_iou=0.3168 | val_f1=0.4291 | val_acc=0.9898 | lr=0.000873
Epoch 072/500 | train_loss=0.2741 | val_dice=0.4219 | val_iou=0.3137 | val_f1=0.4219 | val_acc=0.9915 | lr=0.000871
Epoch 073/500 | train_loss=0.2760 | val_dice=0.4100 | val_iou=0.3083 | val_f1=0.4100 | val_acc=0.9917 | lr=0.000869
Epoch 074/500 | train_loss=0.2653 | val_dice=0.4342 | val_iou=0.3220 | val_f1=0.4342 | val_acc=0.9905 | lr=0.000868
Epoch 075/500 | train_loss=0.2585 | val_dice=0.4321 | val_iou=0.3235 | val_f1=0.4321 | val_acc=0.9923 | lr=0.000866
Epoch 076/500 | train_loss=0.2627 | val_dice=0.4300 | val_iou=0.3227 | val_f1=0.4300 | val_acc=0.9906 | lr=0.000864
Epoch 077/500 | train_loss=0.2649 | val_dice=0.4124 | val_iou=0.3092 | val_f1=0.4124 | val_acc=0.9926 | lr=0.000862
Epoch 078/500 | train_loss=0.2742 | val_dice=0.4073 | val_iou=0.2990 | val_f1=0.4073 | val_acc=0.9919 | lr=0.000860
Epoch 079/500 | train_loss=0.2548 | val_dice=0.4250 | val_iou=0.3172 | val_f1=0.4250 | val_acc=0.9905 | lr=0.000858
Epoch 080/500 | train_loss=0.2619 | val_dice=0.4285 | val_iou=0.3217 | val_f1=0.4285 | val_acc=0.9896 | lr=0.000857
Epoch 081/500 | train_loss=0.2626 | val_dice=0.4309 | val_iou=0.3173 | val_f1=0.4309 | val_acc=0.9903 | lr=0.000855
Epoch 082/500 | train_loss=0.2652 | val_dice=0.4204 | val_iou=0.3137 | val_f1=0.4204 | val_acc=0.9915 | lr=0.000853
Epoch 083/500 | train_loss=0.2612 | val_dice=0.4238 | val_iou=0.3187 | val_f1=0.4238 | val_acc=0.9925 | lr=0.000851
Epoch 084/500 | train_loss=0.2478 | val_dice=0.4305 | val_iou=0.3209 | val_f1=0.4305 | val_acc=0.9913 | lr=0.000849
Epoch 085/500 | train_loss=0.2468 | val_dice=0.4068 | val_iou=0.3044 | val_f1=0.4068 | val_acc=0.9913 | lr=0.000847
