# ==========================================================================
# RECONSTRUCTED training log  --  Attention_UNet  --  Dataset_Hybrid
# Source: logs/metrics.csv (+ run_config.json, run_summary.json)
# The original console log was not persisted for this architecture.
# Per-epoch values below are EXACT (from metrics.csv).
# Per-epoch wall-clock timestamps were not recorded and are omitted.
# Line format matches UNet_BCE train.log for cross-model comparison.
# ==========================================================================
[INFO] Model: AttentionUNet3D | params=35.575M
[INFO] System: NVIDIA GeForce RTX 4070 Ti SUPER | torch=2.5.1+cu124 | cuda=12.4
[INFO] Config: epochs=500, batch_size=1, lr=0.001, loss=dice_ce, scheduler=poly, seed=42, amp=True
[INFO] Loaded 104 train / 26 val studies
Epoch 050/500 | train_loss=0.2922 | val_dice=0.4671 | val_iou=0.3329 | val_f1=0.4671 | val_acc=0.9938 | lr=0.000911
Epoch 051/500 | train_loss=0.2933 | val_dice=0.4323 | val_iou=0.3080 | val_f1=0.4323 | val_acc=0.9915 | lr=0.000910
Epoch 052/500 | train_loss=0.3016 | val_dice=0.4362 | val_iou=0.3089 | val_f1=0.4362 | val_acc=0.9919 | lr=0.000908
Epoch 053/500 | train_loss=0.3035 | val_dice=0.4575 | val_iou=0.3285 | val_f1=0.4575 | val_acc=0.9934 | lr=0.000906
Epoch 054/500 | train_loss=0.2952 | val_dice=0.4298 | val_iou=0.3048 | val_f1=0.4298 | val_acc=0.9909 | lr=0.000904
Epoch 055/500 | train_loss=0.2968 | val_dice=0.4366 | val_iou=0.3095 | val_f1=0.4366 | val_acc=0.9922 | lr=0.000902
Epoch 056/500 | train_loss=0.2949 | val_dice=0.4731 | val_iou=0.3406 | val_f1=0.4731 | val_acc=0.9936 | lr=0.000900
Epoch 057/500 | train_loss=0.2972 | val_dice=0.4456 | val_iou=0.3162 | val_f1=0.4456 | val_acc=0.9925 | lr=0.000899
Epoch 058/500 | train_loss=0.2997 | val_dice=0.4657 | val_iou=0.3311 | val_f1=0.4657 | val_acc=0.9938 | lr=0.000897
Epoch 059/500 | train_loss=0.2827 | val_dice=0.4532 | val_iou=0.3225 | val_f1=0.4532 | val_acc=0.9929 | lr=0.000895
